
Generacion 2
[10, 4, 13, 12, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2
[4, 1, 9, 7, 13, 9, 3, 2, 4, 12, 11, 14, 1, 0, 6] Aptitud = 1
[5, 4, 13, 12, 11, 1, 0, 14, 8, 5, 2, 6, 7, 3, 9] Aptitud = 1
[4, 6, 12, 9, 2, 8, 14, 1, 5, 10, 11, 3, 7, 0, 12] Aptitud = 0
[1, 6, 11, 9, 14, 2, 8, 3, 12, 0, 4, 10, 7, 13, 9] Aptitud = 1
[4, 1, 9, 0, 3, 6, 11, 13, 8, 12, 2, 5, 7, 3, 6] Aptitud = 2
[0, 7, 14, 13, 3, 1, 4, 10, 6, 5, 9, 11, 12, 8, 2] Aptitud = 3
[0, 7, 14, 13, 3, 1, 4, 10, 6, 0, 4, 10, 7, 13, 5] Aptitud = 2
[5, 2, 14, 5, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2
[5, 2, 14, 11, 4, 8, 1, 13, 0, 9, 12, 10, 7, 3, 6] Aptitud = 2

Generacion 3
[4, 1, 9, 1, 3, 6, 11, 13, 8, 12, 12, 10, 7, 3, 6] Aptitud = 2
[5, 2, 14, 12, 11, 1, 0, 14, 8, 5, 2, 6, 7, 3, 9] Aptitud = 1
[0, 7, 14, 13, 3, 1, 4, 10, 6, 2, 7, 8, 14, 13, 12] Aptitud = 2
[4, 1, 9, 7, 13, 9, 1, 13, 0, 9, 12, 10, 7, 3, 6] Aptitud = 2
[0, 7, 14, 13, 3, 1, 4, 10, 6, 5, 9, 11, 7, 3, 6] Aptitud = 2
[0, 7, 14, 13, 3, 1, 4, 10, 6, 5, 9, 11, 12, 13, 9] Aptitud = 4
[5, 2, 14, 5, 10, 0, 4, 10, 6, 5, 9, 11, 12, 8, 2] Aptitud = 2
[4, 1, 9, 7, 13, 9, 3, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2
[5, 2, 14, 5, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2
[5, 2, 14, 5, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2

Generacion 4
[4, 1, 9, 1, 3, 6, 11, 13, 8, 12, 12, 10, 7, 3, 6] Aptitud = 2
[5, 2, 14, 5, 3, 1, 4, 10, 6, 5, 9, 11, 12, 13, 9] Aptitud = 3
[0, 7, 14, 13, 3, 1, 4, 10, 6, 5, 9, 11, 12, 13, 9] Aptitud = 4
[5, 2, 14, 5, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2
[0, 7, 14, 13, 3, 1, 4, 13, 0, 9, 12, 10, 7, 3, 6] Aptitud = 2
[0, 7, 14, 13, 3, 0, 4, 10, 6, 5, 9, 11, 12, 8, 2] Aptitud = 3
[5, 2, 14, 5, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2
[5, 2, 14, 12, 11, 1, 0, 14, 8, 5, 9, 11, 12, 8, 2] Aptitud = 3
[0, 7, 14, 13, 3, 1, 4, 10, 6, 2, 7, 8, 14, 13, 12] Aptitud = 2
[0, 7, 14, 13, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 3

Generacion 5
[0, 7, 14, 13, 3, 1, 4, 10, 6, 2, 7, 8, 14, 13, 12] Aptitud = 2
[5, 2, 14, 12, 11, 1, 0, 14, 8, 5, 9, 11, 12, 8, 2] Aptitud = 3
[5, 2, 14, 5, 3, 1, 4, 10, 6, 5, 9, 11, 12, 13, 9] Aptitud = 3
[0, 7, 14, 13, 3, 1, 4, 10, 6, 5, 9, 11, 12, 13, 9] Aptitud = 4
[0, 7, 14, 13, 3, 0, 4, 10, 6, 5, 9, 11, 14, 13, 12] Aptitud = 3
[0, 7, 14, 13, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 3
[5, 2, 14, 12, 11, 1, 0, 14, 3, 2, 7, 8, 14, 13, 12] Aptitud = 1
[0, 7, 14, 13, 3, 1, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 3
[5, 2, 14, 12, 11, 1, 4, 10, 6, 2, 7, 8, 14, 13, 12] Aptitud = 1
[5, 2, 14, 5, 10, 0, 6, 4, 3, 2, 7, 8, 14, 13, 12] Aptitud = 2

Generacion 6
[5, 2, 14, 5, 3, 1, 4, 10, 6, 5, 9, 11, 12, 13, 9] Aptitud = 3
[5, 2, 14, 12, 11, 1, 0, 14, 3, 2, 7, 8, 14, 13, 12] Aptitud = 1
